ID,Tournament,Date,Home Team,Home Goals,Away Goals,Away Team,Win Conditions,Home Stadium
4052,Friendly,1971-10-03,Senegal,3,0,Cameroon,,1
4053,Friendly,1971-03-14,Cameroon,7,1,Congo,,1
4054,Friendly,1971-03-17,Spain,2,2,France,,1
4055,UEFA Euro qualification,1971-04-04,Yugoslavia,2,0,Netherlands,,1
4056,UEFA Euro qualification,1971-04-21,England,3,0,Greece,,1
4057,UEFA Euro qualification,1971-04-21,Portugal,2,0,Scotland,,1
4058,UEFA Euro qualification,1971-04-21,Switzerland,5,0,Malta,,1
4059,UEFA Euro qualification,1971-04-21,Wales,1,3,Czechoslovakia,,1
4060,UEFA Euro qualification,1971-04-24,Hungary,1,1,France,,1
4061,UEFA Euro qualification,1971-04-25,Turkey,0,3,Germany,,1
4062,Friendly,1971-02-05,Ivory Coast,2,6,Ghana,,1
4063,Korea Cup,1971-02-05,South Korea,1,0,Thailand,,1
4064,Friendly,1971-05-05,Switzerland,2,4,Poland,,1
4065,Korea Cup,1971-06-05,South Korea,5,1,Malaysia,,1
4066,UEFA Euro qualification,1971-09-05,Cyprus,0,2,Spain,,1
4067,Korea Cup,1971-09-05,South Korea,2,0,Cambodia,,1
4068,Korea Cup,1971-11-05,South Korea,3,0,Indonesia,,1
4069,UEFA Euro qualification,1971-12-05,Albania,1,1,Poland,,1
4070,UEFA Euro qualification,1971-12-05,England,5,0,Malta,,1
4071,UEFA Euro qualification,1971-12-05,Portugal,5,0,Denmark,,1
4072,UEFA Euro qualification,1971-12-05,Switzerland,1,0,Greece,,1
4073,Korea Cup,1971-05-13,South Korea,0,0,Myanmar,,1
4074,Korea Cup,1971-05-15,South Korea,0,0,Myanmar,,1
4075,British Championship,1971-05-15,Northern Ireland,0,1,England,,1
4076,British Championship,1971-05-15,Wales,0,0,Scotland,,1
4077,British Championship,1971-05-19,England,0,0,Wales,,1
4078,Friendly,1971-05-20,Luxembourg,0,4,Belgium,,1
4079,British Championship,1971-05-22,England,3,1,Scotland,,1
4080,British Championship,1971-05-22,Northern Ireland,1,0,Wales,,1
4081,UEFA Euro qualification,1971-05-26,Denmark,1,2,Belgium,,1
4082,UEFA Euro qualification,1971-05-26,Finland,0,1,Wales,,1
4083,UEFA Euro qualification,1971-05-30,Russia,2,1,Spain,,1
4084,Indonesia Tournament,1971-05-06,South Korea,0,1,Thailand,,0
4085,Indonesia Tournament,1971-08-06,India,2,3,South Korea,,0
4086,UEFA Euro qualification,1971-09-06,Denmark,1,0,Scotland,,1
4087,Indonesia Tournament,1971-12-06,Myanmar,1,0,South Korea,,0
4088,UEFA Euro qualification,1971-12-06,Germany,2,0,Albania,,1
4089,Indonesia Tournament,1971-06-13,South Korea,1,2,Malaysia,,0
